user_id,trips,traj_id
4,"['-73.95154698,40.80986581,2012-06-06 10:47:53', '-73.977499,40.77693,2012-06-06 13:38:20', '-73.9413925,40.8168158,2012-06-06 18:46:51', '-73.95154698,40.80986581,2012-06-07 11:19:42', '-73.95994453,40.81967267,2012-06-07 14:39:37', '-73.9413925,40.8168158,2012-06-07 18:42:40']",train_16
4,"['-73.95154698,40.80986581,2012-07-03 12:09:20', '-73.98171902,40.78055768,2012-07-03 22:57:15', '-73.92988269,40.82207173,2012-07-04 10:32:24', '-73.95174265,40.80939181,2012-07-04 18:12:45', '-73.95994453,40.81967267,2012-07-04 19:49:35', '-73.94687168,40.800356,2012-07-05 09:31:39', '-73.95154698,40.80986581,2012-07-06 08:40:06', '-73.94227078,40.82312376,2012-07-06 19:11:01', '-73.98271885,40.7515016,2012-07-06 20:41:27', '-73.96381202,40.67163899,2012-07-07 18:45:22']",train_17
5,"['-74.05094147,40.70263485,2012-06-16 18:37:46', '-74.05094147,40.70263485,2012-06-16 18:44:54', '-74.03914364,40.72289631,2012-06-17 16:25:50']",train_18
5,"['-74.03588891,40.73215319,2012-06-30 18:19:50', '-74.03588891,40.73215319,2012-06-30 20:15:14', '-74.04147863,40.73114507,2012-06-30 20:59:59']",train_19
5,"['-74.03832436,40.72696607,2012-07-02 19:24:50', '-74.03832436,40.72696607,2012-07-03 18:23:36', '-74.04134989,40.72891738,2012-07-03 18:35:05']",train_20
5,"['-74.01193142,40.71267093,2012-07-12 19:40:32', '-74.03832436,40.72696607,2012-07-12 19:59:20', '-74.01193142,40.71267093,2012-07-13 14:33:30', '-74.03454781,40.72688476,2012-07-13 14:46:47', '-74.02938724,40.73606359,2012-07-13 15:02:39', '-74.03588891,40.73215319,2012-07-13 18:00:16']",train_21
5,"['-74.01193142,40.71267093,2012-07-17 19:44:17', '-74.04134989,40.72891738,2012-07-17 20:15:33', '-74.01193142,40.71267093,2012-07-18 18:43:03', '-74.03832436,40.72696607,2012-07-18 19:01:21']",train_22
5,"['-74.01193142,40.71267093,2012-07-20 20:00:22', '-74.03454781,40.72688476,2012-07-20 20:23:41', '-74.03832436,40.72696607,2012-07-20 20:24:16', '-74.03914364,40.72289631,2012-07-21 19:02:40']",train_23
5,"['-74.01193142,40.71267093,2012-07-27 18:52:10', '-74.03832436,40.72696607,2012-07-27 19:12:57', '-74.04134989,40.72891738,2012-07-28 17:55:35']",train_24
5,"['-74.01193142,40.71267093,2012-08-10 19:12:04', '-74.03454781,40.72688476,2012-08-10 19:23:00', '-74.03914364,40.72289631,2012-08-11 18:17:30', '-74.03588891,40.73215319,2012-08-12 16:47:25']",train_25
5,"['-74.01193142,40.71267093,2012-08-14 19:19:43', '-74.03454781,40.72688476,2012-08-14 19:35:14', '-74.03832436,40.72696607,2012-08-14 19:35:41']",train_26
6,"['-73.98189068,40.74637912,2012-11-16 22:05:06', '-73.98528099,40.69043337,2012-11-16 23:02:30', '-73.97176266,40.79467579,2012-11-17 01:01:00']",train_27
6,"['-73.98150444,40.68991272,2012-11-19 23:01:09', '-73.99103165,40.70858836,2012-11-19 23:24:32', '-73.99103165,40.70858836,2012-11-20 17:01:18', '-73.83009851,40.75947867,2012-11-20 21:23:44', '-73.81001472,40.69902344,2012-11-20 22:12:53', '-73.98150444,40.68991272,2012-11-20 23:06:42']",train_28
6,"['-73.93841743,40.84884583,2012-11-22 00:48:04', '-74.04226479,40.88214079,2012-11-22 01:15:13', '-73.99154663,40.7572213,2012-11-22 03:24:00', '-73.98505467,40.76178163,2012-11-22 03:51:08', '-73.95842347,40.81554068,2012-11-22 03:51:30']",train_29
6,"['-73.94503761,40.83416102,2012-11-25 21:54:03', '-73.83029109,40.66047384,2012-11-26 17:22:13', '-73.87084723,40.73405558,2012-11-26 20:08:35']",train_30
6,"['-73.99154663,40.7572213,2012-11-29 02:17:24', '-73.98626804,40.75648987,2012-11-29 02:27:22', '-73.95842347,40.81554068,2012-11-29 02:51:19']",train_31
6,"['-73.9413925,40.83128283,2012-12-01 15:54:25', '-73.99103165,40.70858836,2012-12-02 12:31:33', '-73.98738384,40.69147465,2012-12-02 13:58:45', '-73.77126217,40.76308867,2012-12-02 18:57:20', '-73.82881165,40.80023122,2012-12-02 20:10:19', '-73.92554283,40.86046649,2012-12-02 21:19:17', '-73.95403862,40.82134415,2012-12-03 12:15:52']",train_32
6,"['-73.99103165,40.70858836,2012-12-05 16:55:35', '-73.98528099,40.69043337,2012-12-05 22:59:44', '-73.98150444,40.68991272,2012-12-06 19:35:44']",train_33
6,"['-73.98049054,40.68805851,2012-12-17 16:26:54', '-73.98189068,40.74637912,2012-12-17 17:03:28', '-73.95445704,40.75673368,2012-12-17 17:34:32']",train_34
6,"['-73.94687409,40.63154374,2012-12-18 21:34:16', '-73.95403862,40.82134415,2012-12-19 15:08:47', '-73.92848253,40.69308534,2012-12-19 17:06:28']",train_35
6,"['-73.89155388,40.7468343,2012-12-21 17:35:01', '-73.87122,40.773839,2012-12-21 20:19:01', '-73.92702341,40.78008648,2012-12-21 20:50:15', '-73.98150444,40.68991272,2012-12-21 22:21:33', '-73.99357639,40.7507948,2012-12-22 18:12:30']",train_36
6,"['-73.91798973,40.77007682,2012-12-27 17:41:04', '-73.87122,40.773839,2012-12-27 19:22:08', '-73.92702341,40.78008648,2012-12-27 19:53:02', '-73.80783124,40.69968865,2012-12-28 19:28:45', '-73.98528099,40.69043337,2012-12-28 22:54:37']",train_37
6,"['-73.99103165,40.70858836,2012-12-30 18:46:07', '-73.95403862,40.82134415,2012-12-31 15:09:08', '-73.81001472,40.69902344,2012-12-31 18:00:38', '-73.99357639,40.7507948,2013-01-01 14:25:07']",train_38
7,"['-73.98402163,40.77364926,2012-04-13 20:06:54', '-73.98402163,40.77364926,2012-04-13 20:14:30', '-73.962333,40.773045,2012-04-14 10:09:51', '-73.96158038,40.77130228,2012-04-14 11:07:56', '-73.94887269,40.78844973,2012-04-14 20:12:34', '-73.95900894,40.77191392,2012-04-15 12:15:43', '-73.96684885,40.77403374,2012-04-15 13:27:06']",train_39
7,"['-73.996785,40.72553593,2012-04-18 19:12:54', '-73.99859548,40.72645384,2012-04-18 19:34:18', '-73.95900894,40.77191392,2012-04-19 09:08:25', '-73.97777081,40.6867074,2012-04-19 19:49:08', '-74.00428538,40.73800181,2012-04-19 22:41:38']",train_40
7,"['-73.94705147,40.79096987,2012-05-04 08:47:44', '-73.959236,40.774626,2012-05-04 12:36:23', '-73.959546,40.774111,2012-05-04 17:22:29', '-73.95445704,40.75673368,2012-05-05 07:56:39']",train_41
7,"['-73.97434294,40.68647961,2012-05-06 19:43:29', '-73.96717,40.79409,2012-05-07 08:27:14', '-73.96598274,40.79483545,2012-05-07 09:12:24']",train_42
7,"['-73.95451458,40.77843897,2012-05-08 10:41:41', '-73.959236,40.774626,2012-05-08 12:30:44', '-73.94136535,40.79884023,2012-05-09 08:08:46']",train_43
7,"['-73.975496,40.76,2012-05-18 08:41:29', '-73.97698575,40.76139684,2012-05-18 10:52:16', '-73.98555397,40.73171833,2012-05-18 17:59:44', '-73.98567259,40.73179547,2012-05-18 19:19:08', '-73.99357639,40.7507948,2012-05-19 13:10:03']",train_44
7,"['-73.962333,40.773045,2012-06-09 13:34:18', '-73.959236,40.774626,2012-06-09 13:36:13', '-73.95898598,40.77450603,2012-06-09 13:38:35']",train_45
7,"['-73.990717,40.737269,2012-07-12 21:00:54', '-73.99040315,40.7352825,2012-07-12 21:05:43', '-73.96158038,40.77130228,2012-07-13 11:02:27', '-73.99928133,40.72827688,2012-07-13 19:44:33']",train_46
7,"['-73.95898598,40.77450603,2012-12-07 13:55:11', '-73.95766581,40.7738144,2012-12-07 17:31:44', '-73.939147,40.80514464,2012-12-07 19:17:24']",train_47
8,"['-73.97965,40.781333,2012-04-21 13:12:07', '-73.97965,40.781333,2012-04-22 08:16:34', '-73.978449,40.75915,2012-04-22 18:25:31']",train_48
8,"['-73.97965,40.781333,2012-05-11 08:58:51', '-73.96698718,40.75581713,2012-05-11 13:26:28', '-73.994267,40.72222,2012-05-11 21:14:36', '-73.97965,40.781333,2012-05-12 07:55:10']",train_49
8,"['-73.97965,40.781333,2012-08-09 07:29:37', '-73.98171902,40.78055768,2012-08-09 18:57:35', '-73.97965,40.781333,2012-08-10 05:53:59']",train_50
8,"['-73.99004459,40.74130691,2012-10-24 18:28:56', '-73.97965,40.781333,2012-10-25 06:04:22', '-73.99004459,40.74130691,2012-10-25 18:06:05', '-73.97965,40.781333,2012-10-26 06:15:24']",train_51
8,"['-73.97965,40.781333,2012-10-27 08:22:40', '-73.96698718,40.75581713,2012-10-27 15:48:12', '-73.98689117,40.76133049,2012-10-28 14:01:10']",train_52
8,"['-73.97965,40.781333,2012-11-17 08:34:06', '-73.98030265,40.77810349,2012-11-17 16:25:49', '-73.97965,40.781333,2012-11-18 08:54:51']",train_53
8,"['-73.97965,40.781333,2012-12-02 08:03:44', '-73.98030265,40.77810349,2012-12-02 16:29:15', '-73.97965,40.781333,2012-12-03 07:28:28', '-73.98030265,40.77810349,2012-12-03 19:20:49', '-74.17739153,40.69664827,2012-12-04 10:01:47']",train_54
9,"['-73.957302,40.714482,2012-04-13 20:58:02', '-73.9158863,40.77300702,2012-04-14 16:43:05', '-73.99764061,40.73083612,2012-04-15 11:59:18']",train_55
9,"['-73.953603,40.715697,2012-04-20 13:54:37', '-73.981348,40.729057,2012-04-20 20:33:16', '-73.96312594,40.7205995,2012-04-21 11:41:14', '-73.96130487,40.71985686,2012-04-21 12:53:32', '-73.955428,40.7201,2012-04-21 14:31:43', '-73.96312594,40.7205995,2012-04-21 15:38:43']",train_56
9,"['-73.98666161,40.74016102,2012-04-25 12:26:20', '-73.982381,40.74622927,2012-04-26 10:16:31', '-73.98373696,40.74404465,2012-04-26 11:01:29', '-73.98694856,40.74072399,2012-04-26 11:01:57']",train_57
9,"['-73.98694856,40.74072399,2012-05-01 12:38:10', '-73.98764133,40.74081918,2012-05-01 12:48:55', '-73.98886442,40.72909625,2012-05-01 19:49:57']",train_58
9,"['-73.99120113,40.73753053,2012-05-03 13:52:41', '-73.98694856,40.74072399,2012-05-03 13:53:00', '-74.0113306,40.72709616,2012-05-03 19:09:07', '-73.994794,40.725874,2012-05-03 19:32:32', '-73.982381,40.74622927,2012-05-04 10:13:53', '-73.98901463,40.74265628,2012-05-04 12:35:20']",train_59
9,"['-73.9837978,40.73907153,2012-05-10 21:53:26', '-73.99618149,40.73168165,2012-05-11 13:00:15', '-73.98884243,40.72154512,2012-05-11 19:47:04', '-73.98790123,40.72093306,2012-05-11 20:24:21']",train_60
9,"['-73.96130487,40.71985686,2012-05-13 15:12:49', '-73.97480965,40.69118179,2012-05-13 15:33:06', '-73.99357639,40.7507948,2012-05-13 17:10:17', '-73.98694856,40.74072399,2012-05-14 10:00:45', '-73.98901463,40.74265628,2012-05-14 12:53:00']",train_61
10,"['-74.00943275,40.74148073,2012-04-07 12:10:47', '-74.00943275,40.74148073,2012-04-07 13:51:43', '-73.94696832,40.85023766,2012-04-07 15:51:56']",train_62
10,"['-73.95361626,40.77561585,2012-04-10 21:50:46', '-73.95361626,40.78549052,2012-04-11 20:30:17', '-73.99346798,40.7561143,2012-04-12 10:04:14']",train_63
10,"['-74.01193142,40.71267093,2012-04-15 09:27:42', '-74.16483829,40.73420076,2012-04-15 10:31:45', '-74.16483829,40.73420076,2012-04-15 16:56:13']",train_64
10,"['-73.95361626,40.77561585,2012-04-17 22:48:51', '-73.98972049,40.7257625,2012-04-18 19:08:38', '-73.98972049,40.7257625,2012-04-19 18:56:00']",train_65
10,"['-73.98914047,40.75845677,2012-04-27 13:48:01', '-73.98780941,40.72417486,2012-04-27 20:00:21', '-73.9590168,40.78418091,2012-04-28 12:04:39', '-73.94455543,40.77437989,2012-04-28 22:59:43', '-74.00988608,40.70356457,2012-04-29 09:37:28']",train_66
10,"['-73.96288905,40.80396143,2012-05-05 09:08:37', '-73.97692323,40.74276196,2012-05-05 16:48:40', '-73.95361626,40.78549052,2012-05-05 19:34:56']",train_67
10,"['-73.95361626,40.78549052,2012-05-08 23:08:58', '-73.95361626,40.78549052,2012-05-09 19:17:35', '-73.992318,40.758765,2012-05-10 13:25:26', '-73.98541049,40.71795206,2012-05-10 21:27:17', '-74.008758,40.752294,2012-05-11 17:57:01']",train_68
10,"['-73.9781034,40.74613121,2012-05-13 21:03:48', '-73.99687108,40.71920938,2012-05-14 20:47:18', '-73.97647455,40.74513808,2012-05-15 10:46:22', '-73.992318,40.758765,2012-05-15 13:56:12', '-73.97647455,40.74513808,2012-05-15 18:52:27']",train_69
10,"['-73.98972049,40.7257625,2012-05-25 18:47:25', '-73.95361626,40.78549052,2012-05-25 21:15:52', '-73.98843795,40.7414075,2012-05-26 19:44:55']",train_70
10,"['-73.99526423,40.7549772,2012-06-06 13:39:29', '-73.99324417,40.73498502,2012-06-06 20:41:47', '-74.000865,40.72951,2012-06-06 22:41:46']",train_71
10,"['-73.97590399,40.77210813,2012-06-09 15:49:40', '-73.93363135,40.86054099,2012-06-09 20:08:46', '-73.95361626,40.77561585,2012-06-09 21:58:27', '-73.99326138,40.73500513,2012-06-10 18:12:51', '-73.99324417,40.73498502,2012-06-10 19:17:06', '-73.98292546,40.72429382,2012-06-10 20:39:35', '-73.992318,40.758765,2012-06-11 13:35:57']",train_72
11,"['-74.01000023,40.73441328,2012-04-23 07:39:18', '-73.97336954,40.76280319,2012-04-23 19:39:27', '-73.88430119,40.72085157,2012-04-23 19:42:28', '-73.97463799,40.73268977,2012-04-24 09:09:12']",train_73
11,"['-73.99974042,40.73303953,2012-05-27 21:40:10', '-73.99583817,40.72898243,2012-05-28 09:00:49', '-73.99974042,40.73303953,2012-05-28 21:40:09', '-73.99583817,40.72898243,2012-05-29 09:00:21', '-73.9816284,40.77424773,2012-05-29 20:30:16', '-73.99974042,40.73303953,2012-05-29 21:40:13']",train_74
11,"['-73.99039768,40.73709857,2012-06-01 05:53:13', '-73.99583817,40.72898243,2012-06-01 09:00:17', '-73.99291131,40.72941622,2012-06-01 13:00:17']",train_75
11,"['-73.9816284,40.77424773,2012-06-02 20:30:16', '-73.99974042,40.73303953,2012-06-02 21:40:13', '-73.98723364,40.75546586,2012-06-03 15:15:03', '-73.99974042,40.73303953,2012-06-03 21:40:09', '-73.99583817,40.72898243,2012-06-04 09:00:19', '-73.98626804,40.75648987,2012-06-04 19:23:02', '-73.78452301,40.64508936,2012-06-04 22:44:10']",train_76
11,"['-73.78452301,40.64508936,2012-07-07 22:06:46', '-73.78237724,40.64398223,2012-07-07 22:14:40', '-73.98446354,40.75407124,2012-07-08 08:39:03', '-73.97193432,40.76744416,2012-07-08 10:16:53', '-73.98368836,40.75372797,2012-07-09 06:04:57', '-73.99048716,40.73416736,2012-07-09 11:11:17']",train_77
11,"['-73.99064541,40.7421523,2012-07-10 18:02:22', '-73.98843795,40.7414075,2012-07-10 20:14:31', '-74.07433033,40.81348443,2012-07-11 02:20:26']",train_78
11,"['-73.99246368,40.75363804,2013-01-05 12:00:12', '-74.07631516,40.63726578,2013-01-06 09:56:52', '-73.9451639,40.8082599,2013-01-06 13:04:49', '-73.992803,40.734758,2013-01-06 13:13:57', '-74.00822997,40.74099801,2013-01-07 07:35:12', '-73.99246368,40.75363804,2013-01-07 12:00:40', '-73.99583817,40.72898243,2013-01-07 14:45:04', '-74.07677191,40.64166743,2013-01-08 08:59:14', '-73.99583817,40.72898243,2013-01-08 09:00:14', '-73.99640679,40.72385604,2013-01-08 21:03:45', '-73.99583817,40.72898243,2013-01-09 09:00:18', '-73.99246368,40.75363804,2013-01-09 12:00:14', '-73.99583817,40.72898243,2013-01-09 14:45:04', '-73.95391187,40.77887659,2013-01-10 12:00:17', '-73.99583817,40.72898243,2013-01-10 14:45:05', '-74.00914583,40.70619402,2013-01-10 20:29:36']",train_79
12,"['-73.99822542,40.72387965,2012-04-13 18:18:03', '-73.99999866,40.71809032,2012-04-13 18:57:37', '-73.8314724,40.75951305,2012-04-13 22:19:54', '-73.82963978,40.75811474,2012-04-14 06:36:10', '-73.89198303,40.68779755,2012-04-14 16:03:23', '-73.98453815,40.60589932,2012-04-14 17:19:43', '-73.99794102,40.63904062,2012-04-14 21:48:05', '-73.98453815,40.60589932,2012-04-15 10:22:15', '-73.98453815,40.60589932,2012-04-15 12:06:34', '-73.87308141,40.65078525,2012-04-15 13:53:39', '-73.83439064,40.64131201,2012-04-15 14:36:42', '-73.82947598,40.764016,2012-04-15 16:59:35']",train_80
12,"['-73.82947598,40.764016,2012-04-19 19:19:27', '-73.92848253,40.69308534,2012-04-20 17:36:57', '-73.8314724,40.75951305,2012-04-20 22:40:25', '-73.82963978,40.75811474,2012-04-21 06:39:28', '-73.98453815,40.60589932,2012-04-21 15:32:04', '-73.98453815,40.60589932,2012-04-22 09:48:04', '-73.83085012,40.78292986,2012-04-22 15:46:00', '-73.8334465,40.78322232,2012-04-22 16:10:52', '-73.82947598,40.764016,2012-04-22 16:49:52']",train_81
12,"['-73.82963978,40.75811474,2012-04-28 06:44:14', '-73.99999866,40.71809032,2012-04-28 14:42:43', '-73.98453815,40.60589932,2012-04-28 21:52:11', '-73.98453815,40.60589932,2012-04-29 11:23:33', '-73.97653194,40.68430926,2012-04-29 13:17:14', '-73.82947598,40.764016,2012-04-29 17:24:42']",train_82
12,"['-73.82947598,40.764016,2012-05-03 19:48:39', '-73.99108529,40.73485229,2012-05-04 16:44:33', '-73.991189,40.73595831,2012-05-04 17:16:02', '-73.991138,40.73524837,2012-05-04 17:49:11', '-73.99039768,40.73709857,2012-05-04 18:09:42', '-73.991829,40.723955,2012-05-04 20:43:45', '-73.82963978,40.75811474,2012-05-05 06:43:20', '-74.01538907,40.71486941,2012-05-05 14:19:26', '-73.98453815,40.60589932,2012-05-06 12:47:00', '-73.98979509,40.5995839,2012-05-06 13:24:38', '-73.89198303,40.68779755,2012-05-06 15:40:44', '-73.8314724,40.75951305,2012-05-06 15:52:56', '-73.82963978,40.75811474,2012-05-06 16:21:12', '-73.82947598,40.764016,2012-05-06 17:19:29']",train_83
12,"['-73.8314724,40.75951305,2012-05-08 18:38:19', '-73.82947598,40.764016,2012-05-08 19:41:33', '-73.828082,40.764123,2012-05-08 20:13:32', '-73.8314724,40.75951305,2012-05-09 18:28:47']",train_84
12,"['-73.8314724,40.75951305,2012-05-11 22:10:23', '-73.82963978,40.75811474,2012-05-12 06:53:43', '-73.99886815,40.71645155,2012-05-12 15:37:11', '-73.98453815,40.60589932,2012-05-13 11:58:32', '-73.83085012,40.78292986,2012-05-13 14:37:22', '-73.8334465,40.78322232,2012-05-13 15:37:23', '-73.82963978,40.75811474,2012-05-13 16:28:08', '-73.82947598,40.764016,2012-05-13 17:09:29', '-73.828082,40.764123,2012-05-13 18:22:13']",train_85
12,"['-73.997995,40.715573,2012-05-18 20:58:55', '-73.8314724,40.75951305,2012-05-18 21:39:07', '-73.82963978,40.75811474,2012-05-19 06:42:11', '-73.82963978,40.75811474,2012-05-19 06:43:00', '-73.98453815,40.60589932,2012-05-19 15:03:08']",train_86
12,"['-73.98453815,40.60589932,2012-05-27 09:32:41', '-73.98453815,40.60589932,2012-05-27 21:52:26', '-73.98453815,40.60589932,2012-05-28 10:22:08', '-73.99864434,40.60486403,2012-05-28 13:41:31', '-73.98979509,40.5995839,2012-05-28 20:56:56', '-73.83484482,40.76901868,2012-05-29 19:06:30', '-73.82947598,40.764016,2012-05-29 20:35:51']",train_87
12,"['-73.98453815,40.60589932,2012-06-02 18:43:48', '-73.99110357,40.60014219,2012-06-02 21:30:12', '-73.98453815,40.60589932,2012-06-03 09:55:15', '-73.82947598,40.764016,2012-06-03 15:44:42', '-73.828082,40.764123,2012-06-03 18:40:28']",train_88
12,"['-73.82963978,40.75811474,2012-06-09 06:53:07', '-73.89869928,40.67692779,2012-06-09 14:06:22', '-74.00015934,40.72693529,2012-06-09 18:16:06', '-73.98453815,40.60589932,2012-06-09 22:19:58', '-73.98453815,40.60589932,2012-06-10 09:13:32', '-73.82947598,40.764016,2012-06-10 18:04:11']",train_89
12,"['-73.82963978,40.75811474,2012-09-15 06:18:33', '-73.98647222,40.75026476,2012-09-15 13:46:17', '-73.996361,40.719455,2012-09-15 20:40:07']",train_90
13,"['-73.99336294,40.75261955,2012-11-17 13:07:17', '-73.90776816,40.91163004,2012-11-18 09:25:37', '-73.90776816,40.91163004,2012-11-18 09:34:22']",train_91
13,"['-73.90704632,40.91253964,2012-12-11 01:21:28', '-73.90776816,40.91163004,2012-12-11 11:34:52', '-73.84250164,40.95977553,2012-12-11 18:21:20', '-73.90776816,40.91163004,2012-12-11 23:10:42', '-73.90776816,40.91163004,2012-12-12 12:51:19']",train_92
14,"['-73.98792419,40.74218831,2012-04-03 18:55:46', '-73.98792419,40.74218831,2012-04-04 07:01:14', '-73.97428784,40.74167305,2012-04-04 09:48:30', '-73.98792419,40.74218831,2012-04-04 15:49:02', '-73.98792419,40.74218831,2012-04-05 07:08:46']",train_93
14,"['-73.98918103,40.74095989,2012-04-06 12:22:28', '-73.98792419,40.74218831,2012-04-06 12:23:22', '-73.98792419,40.74218831,2012-04-07 08:46:08', '-73.99055958,40.73652697,2012-04-07 12:00:15', '-73.98867026,40.73431844,2012-04-07 12:02:00', '-73.98792419,40.74218831,2012-04-07 16:18:46', '-73.98792419,40.74218831,2012-04-08 06:16:20']",train_94
14,"['-73.98792419,40.74218831,2012-04-09 07:08:30', '-73.98792419,40.74218831,2012-04-10 06:00:02', '-73.97428784,40.74167305,2012-04-10 13:54:12', '-73.98792419,40.74218831,2012-04-11 11:53:01', '-73.98792419,40.74218831,2012-04-12 06:58:42']",train_95
14,"['-73.98792419,40.74218831,2012-04-14 10:46:02', '-73.98792419,40.74218831,2012-04-14 18:40:53', '-73.98792419,40.74218831,2012-04-15 06:54:30', '-73.98798732,40.73802516,2012-04-15 12:32:11', '-73.98792419,40.74218831,2012-04-15 14:56:40', '-73.98792419,40.74218831,2012-04-16 07:56:59']",train_96
14,"['-73.98792419,40.74218831,2012-04-17 07:57:59', '-73.98792419,40.74218831,2012-04-17 15:33:48', '-73.97428784,40.74167305,2012-04-18 08:59:03', '-73.98792419,40.74218831,2012-04-19 08:07:05', '-73.98792419,40.74218831,2012-04-19 14:35:56', '-73.98843795,40.7414075,2012-04-19 20:02:32', '-73.98792419,40.74218831,2012-04-19 20:03:21', '-73.98792419,40.74218831,2012-04-20 07:07:00']",train_97
14,"['-73.98792419,40.74218831,2012-04-21 08:32:44', '-73.99055958,40.73652697,2012-04-21 10:58:34', '-73.98792419,40.74218831,2012-04-22 08:49:31', '-73.98792419,40.74218831,2012-04-22 12:15:04']",train_98
14,"['-73.98792419,40.74218831,2012-04-25 07:55:42', '-73.97428784,40.74167305,2012-04-25 12:29:42', '-73.98792419,40.74218831,2012-04-25 16:04:41', '-73.98792419,40.74218831,2012-04-26 07:43:34']",train_99
